                                        COVERAGE
  [0, 59, 7, 17, 61, 68, 14, 70, 62, 96, 86, 85]
 [1, 22, 88, 83, 87, 30, 57, 34, 43, 65, 44, 75]
   [2, 32, 9, 3, 77, 98, 31, 48, 78, 74, 19, 12]
  [3, 31, 74, 81, 20, 84, 48, 77, 11, 13, 2, 19]
  [4, 60, 21, 10, 40, 80, 33, 79, 6, 29, 90, 35]
  [5, 78, 52, 98, 93, 9, 46, 94, 58, 97, 32, 76]
  [6, 33, 39, 41, 40, 42, 23, 21, 60, 24, 54, 4]
  [7, 59, 0, 68, 70, 17, 61, 14, 89, 67, 62, 96]
  [8, 25, 73, 19, 77, 31, 3, 11, 84, 32, 81, 74]
   [9, 32, 78, 26, 2, 91, 77, 5, 19, 98, 73, 52]
  [10, 60, 4, 33, 35, 51, 21, 40, 6, 56, 80, 99]
  [11, 84, 13, 81, 31, 74, 20, 3, 48, 86, 85, 8]
 [12, 66, 48, 96, 85, 62, 20, 14, 74, 81, 68, 3]
 [13, 84, 11, 81, 20, 74, 86, 48, 3, 85, 31, 96]
 [14, 62, 96, 85, 66, 61, 86, 12, 68, 20, 0, 48]
[15, 44, 97, 30, 65, 93, 83, 87, 51, 56, 75, 46]
[16, 71, 37, 69, 53, 72, 91, 49, 45, 26, 55, 73]
  [17, 61, 0, 59, 7, 86, 70, 14, 68, 62, 96, 85]
[18, 45, 55, 49, 72, 36, 53, 27, 37, 91, 26, 92]
    [19, 73, 77, 25, 8, 32, 31, 3, 9, 91, 26, 2]
 [20, 74, 48, 81, 84, 85, 96, 66, 13, 62, 3, 11]
  [21, 40, 4, 60, 33, 29, 6, 80, 79, 41, 10, 39]
 [22, 1, 88, 83, 87, 30, 34, 43, 44, 57, 65, 15]
  [23, 42, 24, 41, 6, 39, 40, 33, 21, 54, 60, 4]
 [24, 42, 23, 41, 39, 6, 54, 40, 33, 21, 38, 60]
   [25, 73, 8, 19, 77, 31, 3, 32, 11, 9, 91, 84]
 [26, 91, 55, 49, 45, 72, 9, 32, 18, 36, 19, 27]
[27, 36, 76, 92, 94, 58, 55, 18, 45, 49, 72, 26]
[28, 34, 43, 99, 95, 38, 44, 51, 54, 22, 15, 10]
 [29, 47, 79, 80, 64, 21, 40, 4, 50, 82, 89, 90]
[30, 83, 87, 65, 15, 97, 75, 57, 44, 22, 93, 58]
  [31, 3, 77, 81, 84, 74, 11, 8, 25, 19, 20, 73]
   [32, 9, 2, 77, 19, 26, 73, 91, 78, 25, 31, 3]
  [33, 6, 40, 60, 39, 21, 41, 4, 10, 42, 23, 54]
 [34, 28, 43, 99, 95, 38, 44, 22, 51, 1, 15, 54]
 [35, 56, 63, 46, 10, 51, 90, 60, 4, 98, 52, 80]
[36, 27, 18, 76, 92, 55, 45, 49, 94, 58, 72, 26]
[37, 71, 53, 16, 69, 72, 49, 45, 55, 91, 18, 26]
 [38, 95, 54, 99, 28, 39, 43, 34, 33, 6, 10, 51]
 [39, 6, 41, 33, 54, 42, 23, 24, 40, 38, 95, 60]
  [40, 21, 33, 6, 4, 60, 41, 23, 39, 29, 42, 80]
  [41, 42, 23, 6, 39, 24, 33, 40, 21, 54, 60, 4]
 [42, 24, 23, 41, 39, 6, 33, 40, 54, 21, 60, 38]
[43, 99, 28, 34, 44, 51, 38, 95, 15, 22, 30, 83]
[44, 15, 51, 43, 99, 30, 56, 83, 97, 28, 65, 87]
[45, 49, 55, 72, 18, 91, 26, 53, 36, 37, 27, 16]
  [46, 98, 52, 56, 78, 93, 5, 35, 63, 97, 15, 2]
 [47, 79, 29, 64, 82, 50, 80, 89, 67, 90, 21, 4]
 [48, 20, 74, 81, 66, 85, 12, 96, 62, 3, 84, 14]
[49, 45, 72, 55, 91, 18, 26, 53, 36, 37, 27, 16]
 [50, 82, 89, 64, 67, 79, 47, 90, 68, 80, 7, 29]
[51, 44, 99, 56, 43, 10, 15, 35, 28, 60, 46, 38]
   [52, 98, 5, 78, 46, 93, 9, 97, 56, 2, 94, 32]
[53, 37, 72, 18, 45, 49, 55, 16, 71, 69, 91, 26]
 [54, 38, 95, 39, 6, 41, 42, 33, 24, 23, 99, 28]
[55, 45, 49, 72, 18, 91, 26, 36, 53, 27, 37, 16]
[56, 46, 35, 51, 15, 52, 98, 93, 63, 44, 10, 97]
[57, 75, 87, 83, 65, 30, 58, 97, 94, 92, 76, 88]
 [58, 94, 76, 92, 27, 75, 36, 97, 65, 93, 5, 57]
  [59, 0, 7, 68, 17, 61, 70, 14, 62, 96, 85, 66]
  [60, 4, 10, 33, 21, 40, 6, 80, 39, 35, 41, 79]
  [61, 17, 86, 0, 14, 59, 62, 85, 96, 7, 68, 66]
[62, 96, 85, 14, 66, 12, 48, 20, 74, 86, 61, 81]
 [63, 35, 90, 12, 46, 56, 80, 98, 2, 66, 89, 64]
 [64, 79, 50, 89, 80, 47, 82, 90, 29, 67, 4, 68]
[65, 75, 97, 30, 87, 83, 57, 15, 93, 58, 94, 76]
[66, 96, 62, 85, 12, 14, 48, 20, 74, 81, 68, 86]
  [67, 82, 50, 89, 70, 7, 64, 68, 47, 59, 0, 79]
  [68, 7, 59, 0, 14, 89, 62, 66, 96, 85, 50, 61]
[69, 71, 37, 16, 53, 72, 49, 45, 18, 91, 55, 26]
  [70, 7, 59, 0, 67, 17, 68, 61, 82, 50, 89, 14]
[71, 16, 69, 37, 53, 72, 49, 45, 91, 55, 18, 26]
[72, 49, 45, 55, 53, 91, 18, 26, 37, 16, 36, 71]
   [73, 19, 25, 77, 8, 31, 32, 3, 9, 91, 26, 16]
 [74, 20, 81, 48, 84, 3, 13, 85, 31, 11, 96, 66]
[75, 65, 57, 97, 87, 58, 94, 83, 30, 76, 92, 93]
 [76, 92, 58, 94, 27, 36, 75, 55, 18, 5, 97, 93]
    [77, 19, 73, 25, 31, 8, 32, 3, 9, 2, 81, 74]
   [78, 5, 52, 98, 9, 46, 32, 93, 2, 26, 94, 91]
 [79, 64, 80, 47, 29, 50, 82, 90, 89, 21, 4, 67]
 [80, 79, 64, 29, 4, 90, 47, 21, 60, 50, 89, 82]
 [81, 74, 84, 20, 48, 13, 11, 3, 31, 85, 96, 62]
 [82, 50, 89, 67, 64, 47, 79, 68, 90, 7, 80, 29]
 [83, 87, 30, 65, 57, 75, 15, 97, 22, 44, 88, 1]
 [84, 11, 13, 81, 20, 74, 3, 48, 31, 85, 86, 96]
[85, 96, 62, 66, 14, 20, 48, 12, 74, 81, 86, 61]
[86, 61, 14, 13, 85, 62, 96, 17, 84, 20, 66, 81]
[87, 83, 30, 65, 57, 75, 97, 15, 22, 44, 88, 93]
 [88, 1, 22, 83, 87, 57, 30, 75, 65, 15, 44, 97]
 [89, 50, 82, 64, 90, 67, 68, 79, 7, 47, 80, 59]
 [90, 64, 80, 89, 63, 79, 50, 82, 68, 4, 47, 35]
 [91, 26, 49, 45, 72, 55, 9, 16, 32, 53, 37, 18]
[92, 76, 58, 94, 27, 36, 75, 18, 55, 57, 65, 97]
 [93, 97, 52, 5, 65, 15, 46, 94, 98, 78, 58, 75]
 [94, 58, 76, 92, 27, 75, 36, 97, 93, 5, 65, 78]
 [95, 38, 54, 28, 99, 39, 34, 43, 6, 33, 51, 41]
[96, 62, 85, 66, 14, 12, 48, 20, 74, 81, 86, 61]
 [97, 65, 93, 75, 15, 30, 94, 58, 87, 83, 5, 52]
   [98, 52, 78, 5, 46, 93, 9, 2, 32, 56, 97, 63]
